id,наименование_задачи,тип_задачи,технологический_стек,срок_выполнения_дней,цена_руб,ценовой_диапазон
1140,Вёрстка мобильного меню,Вёрстка,Next.js+SCSS,7,7500,5 000–15 000 ₽
1141,Вёрстка мобильного меню,Вёрстка,HTML+CSS+BEM,12,6500,5 000–15 000 ₽
1142,Kubernetes-манифесты,CI/CD и DevOps,Terraform+AWS,3,27800,15 000–30 000 ₽
1143,Автовыгрузка данных в Excel,Автоматизация и скрипты,Python,6,9300,5 000–15 000 ₽
1144,Сбор вакансий с hh.ru,Парсинг данных,Scrapy,8,5000,5 000–15 000 ₽
1145,Каталог с корзиной на Flutter,Мобильное приложение,Flutter,56,35900,30 000–60 000 ₽
1146,Компонент загрузки файлов,UI-компонент,React+TypeScript,10,5300,5 000–15 000 ₽
1147,Форма с валидацией,UI-компонент,React+Storybook,10,10000,5 000–15 000 ₽
1148,Индексирование и рефакторинг JOIN,Оптимизация SQL,BigQuery,3,8000,5 000–15 000 ₽
1149,Система бронирования,Fullstack-разработка,Vue.js+Django+PostgreSQL,46,46000,30 000–60 000 ₽
1150,Магазин детских товаров,Интернет-магазин,Laravel+Vue,41,53000,30 000–60 000 ₽
1151,Синхронизация CRM и 1С,Автоматизация и скрипты,Zapier+Python,7,5300,5 000–15 000 ₽
1152,API управления заказами,Написание API,Spring Boot,11,26000,15 000–30 000 ₽
1153,Pixel-perfect вёрстка карточки товара,Вёрстка,React+CSS Modules,11,6000,5 000–15 000 ₽
1154,Webhook-интеграция с Telegram,Написание API,Go+Gin,8,19000,15 000–30 000 ₽
1155,Адаптивная вёрстка корпоративного сайта,Вёрстка,React+CSS Modules,12,11000,5 000–15 000 ₽
1156,Приложение для записи к врачу,Мобильное приложение,Swift (iOS),59,32000,30 000–60 000 ₽
1157,Оптимизация агрегатов ClickHouse,Оптимизация SQL,PostgreSQL,2,10000,5 000–15 000 ₽
1158,Дата-пикер с диапазоном,UI-компонент,React+Storybook,4,4000,до 5 000 ₽
1159,Парсер новостей,Парсинг данных,Python+Selenium,14,6000,5 000–15 000 ₽
1160,Вёрстка формы wizard,Вёрстка,HTML+Tailwind,4,7400,5 000–15 000 ₽
1161,Автоматизация отчётности Google Sheets,Автоматизация и скрипты,Python+aiogram,1,9000,5 000–15 000 ₽
1162,Лендинг для event-агентства,Лендинг,Next.js,13,19000,15 000–30 000 ₽
1163,API интеграции с 1С,Написание API,Node.js+Express,13,15400,15 000–30 000 ₽
1164,Приложение для записи к врачу,Мобильное приложение,React Native+Redux,59,75000,60 000–120 000 ₽
1165,Вёрстка административной панели,Вёрстка,HTML+Bootstrap 5,4,5600,5 000–15 000 ₽
1166,Мониторинг цен конкурентов,Парсинг данных,Python+Selenium,8,4500,до 5 000 ₽
1167,Вёрстка административной панели,Вёрстка,Next.js+SCSS,8,13000,5 000–15 000 ₽
1168,Переписать N+1 в ORM,Оптимизация SQL,SQL Server,6,6000,5 000–15 000 ₽
1169,Вёрстка мобильного меню,Вёрстка,HTML+Tailwind,6,5800,5 000–15 000 ₽
1170,Оптимизация агрегатов ClickHouse,Оптимизация SQL,PostgreSQL,5,12000,5 000–15 000 ₽
1171,Full-text search PostgreSQL,Оптимизация SQL,MySQL,4,5500,5 000–15 000 ₽
1172,Приложение учёта финансов,Мобильное приложение,Flutter,11,23500,15 000–30 000 ₽
1173,Pixel-perfect вёрстка карточки товара,Вёрстка,HTML+Tailwind,3,4000,до 5 000 ₽
1174,Вёрстка административной панели,Вёрстка,Vue.js+CSS,5,10000,5 000–15 000 ₽
1175,Парсер новостей,Парсинг данных,Python+requests,9,5200,5 000–15 000 ₽
1176,CRUD API системы задач,Написание API,Node.js+Express,8,18200,15 000–30 000 ₽
1177,React-таблица с сортировкой,UI-компонент,Angular,8,7000,5 000–15 000 ₽
1178,Webhook-интеграция с Telegram,Написание API,Spring Boot,8,11000,5 000–15 000 ₽
1179,Кластеризация пользователей,ML-модель,scikit-learn+pandas,12,17500,15 000–30 000 ₽
1180,Вёрстка личного кабинета,Вёрстка,HTML+Bootstrap 5,1,5000,5 000–15 000 ₽
1181,Лендинг для детского лагеря,Лендинг,WordPress,20,8000,5 000–15 000 ₽
1182,Вёрстка email-шаблона,Вёрстка,Next.js+SCSS,8,5500,5 000–15 000 ₽
1183,Страница для сбора заявок,Лендинг,Next.js,20,18500,15 000–30 000 ₽
1184,Промо-страница для нового продукта,Лендинг,React,1,13800,5 000–15 000 ₽
1185,Ювелирный интернет-магазин,Интернет-магазин,1C-Bitrix,7,40500,30 000–60 000 ₽
1186,Скрипт обработки изображений,Автоматизация и скрипты,Python+aiogram,7,5100,5 000–15 000 ₽
1187,Дашборд с графиками,UI-компонент,Vue.js,7,4500,до 5 000 ₽
1188,Продающий лендинг для SaaS,Лендинг,WordPress,19,5500,5 000–15 000 ₽
1189,REST API для каталога с пагинацией,Написание API,Kotlin+Ktor,18,12000,5 000–15 000 ₽
1190,Маркетплейс для мастеров,Интернет-магазин,WooCommerce,18,13000,5 000–15 000 ₽
1191,Продающий лендинг для SaaS,Лендинг,WordPress,6,11000,5 000–15 000 ₽
1192,Accordion FAQ,UI-компонент,Angular,10,9000,5 000–15 000 ₽
1193,Редизайн личного кабинета,UI/UX Дизайн,Sketch,15,7000,5 000–15 000 ₽
1194,Редизайн личного кабинета,UI/UX Дизайн,Figma+Lottie,8,15500,15 000–30 000 ₽
1195,Вёрстка дашборда аналитики,Вёрстка,React+CSS Modules,9,7000,5 000–15 000 ₽
1196,Парсинг объявлений о недвижимости,Парсинг данных,Scrapy,7,7000,5 000–15 000 ₽
1197,Приложение для записи к врачу,Мобильное приложение,React Native+Redux,38,30000,30 000–60 000 ₽
1198,Telegram-бот для уведомлений,Автоматизация и скрипты,Python+aiogram,9,9300,5 000–15 000 ₽
1199,Лендинг с видео-фоном и анимацией,Лендинг,HTML+Bootstrap,9,9000,5 000–15 000 ₽
1200,Webhook-интеграция с Telegram,Написание API,Go+Gin,18,14100,5 000–15 000 ₽
1201,Парсинг объявлений о недвижимости,Парсинг данных,Python+Playwright,13,11100,5 000–15 000 ₽
1202,Лендинг для фитнес-клуба,Лендинг,React,16,17500,15 000–30 000 ₽
1203,Система бронирования,Fullstack-разработка,Next.js+Node.js+MongoDB,23,35400,30 000–60 000 ₽
1204,Drag-and-drop список,UI-компонент,Vue.js,7,5000,5 000–15 000 ₽
1205,Карусель с лайтбоксом,UI-компонент,React+Storybook,5,5000,5 000–15 000 ₽
1206,CRUD API системы задач,Написание API,Go+Gin,5,31000,30 000–60 000 ₽
1207,Вёрстка страницы оформления заказа,Вёрстка,React+CSS Modules,9,14500,5 000–15 000 ₽
1208,Магазин детских товаров,Интернет-магазин,WooCommerce,33,27600,15 000–30 000 ₽
1209,Лендинг для онлайн-курса,Лендинг,React,16,14000,5 000–15 000 ₽
1210,Лендинг для медицинской клиники,Лендинг,HTML+CSS+JS,16,5000,5 000–15 000 ₽
1211,Лендинг для фитнес-клуба,Лендинг,Vue.js,6,8000,5 000–15 000 ₽
1212,Оптимизация запроса аналитики,Оптимизация SQL,MySQL,7,7400,5 000–15 000 ₽
1213,GraphQL API для портала,Написание API,FastAPI+PostgreSQL,3,10500,5 000–15 000 ₽
1214,API управления заказами,Написание API,Node.js+Express,10,19000,15 000–30 000 ₽
1215,Лендинг с видео-фоном и анимацией,Лендинг,Next.js,7,10000,5 000–15 000 ₽
1216,Интеграция Bitrix24,Автоматизация и скрипты,Python+aiogram,6,6000,5 000–15 000 ₽
1217,Вёрстка административной панели,Вёрстка,HTML+Bootstrap 5,14,6000,5 000–15 000 ₽
1218,Drag-and-drop список,UI-компонент,React+Storybook,1,10000,5 000–15 000 ₽
1219,Вёрстка личного кабинета,Вёрстка,HTML+CSS+BEM,3,6700,5 000–15 000 ₽
1220,Вёрстка страницы оформления заказа,Вёрстка,React+CSS Modules,10,9500,5 000–15 000 ₽
1221,Автоматизация отчётности Google Sheets,Автоматизация и скрипты,n8n,5,7000,5 000–15 000 ₽
1222,Nginx+SSL+reverse proxy,CI/CD и DevOps,Ansible,2,7000,5 000–15 000 ₽
1223,MVP приложения доставки еды,Мобильное приложение,Kotlin (Android),9,119000,60 000–120 000 ₽
1224,Webhook-интеграция с Telegram,Написание API,Spring Boot,7,24000,15 000–30 000 ₽
1225,API авторизации JWT и OAuth,Написание API,NestJS+TypeScript,20,8500,5 000–15 000 ₽
1226,Адаптивная вёрстка корпоративного сайта,Вёрстка,HTML+CSS+BEM,2,5500,5 000–15 000 ₽
1227,Мониторинг наличия на Wildberries,Парсинг данных,Python+BeautifulSoup,10,7000,5 000–15 000 ₽
1228,Автовыгрузка данных в Excel,Автоматизация и скрипты,Bash+Python,8,4000,до 5 000 ₽
1229,Компонент загрузки файлов,UI-компонент,Svelte,7,6000,5 000–15 000 ₽
1230,API авторизации JWT и OAuth,Написание API,Spring Boot,12,17000,15 000–30 000 ₽
1231,Продающий лендинг для SaaS,Лендинг,HTML+Bootstrap,2,8500,5 000–15 000 ₽
1232,Приложение учёта финансов,Мобильное приложение,Kotlin (Android),53,87000,60 000–120 000 ₽
1233,Вёрстка административной панели,Вёрстка,HTML+Bootstrap 5,4,4000,до 5 000 ₽
1234,Лендинг для агентства недвижимости,Лендинг,HTML+Bootstrap,21,2000,до 5 000 ₽
1235,Мониторинг наличия на Wildberries,Парсинг данных,Scrapy,14,6000,5 000–15 000 ₽
1236,Автобэкапы PostgreSQL,CI/CD и DevOps,Terraform+AWS,7,22000,15 000–30 000 ₽
1237,Классификация обращений,ML-модель,TensorFlow,11,22800,15 000–30 000 ₽
1238,Магазин электроники с фильтрами,Интернет-магазин,Django+React,44,57500,30 000–60 000 ₽
1239,Продающий лендинг для SaaS,Лендинг,Next.js,20,16500,15 000–30 000 ₽
1240,Вёрстка email-шаблона,Вёрстка,HTML+Tailwind,12,7800,5 000–15 000 ₽
1241,React-таблица с сортировкой,UI-компонент,Angular,4,9100,5 000–15 000 ₽
1242,CRUD API системы задач,Написание API,Django REST,15,12000,5 000–15 000 ₽
1243,API управления заказами,Написание API,Spring Boot,7,27000,15 000–30 000 ₽
1244,Вёрстка личного кабинета,Вёрстка,Next.js+SCSS,9,9600,5 000–15 000 ₽
1245,REST API для каталога с пагинацией,Написание API,Django REST,17,14500,5 000–15 000 ₽
